Branch_ID,Branch_Name,City,Address,Manager_ID
1,North Jeffrey Branch,Lake Jonstad,50328 Cook Brook Apt. 582,932
2,Port Paulmouth Branch,South Brian,377 Ford Lane,128
3,North Joseph Branch,New Justin,55479 Brooke Fields,983
4,Brandonton Branch,West Aprilmouth,5637 Ashley Gardens Suite 748,889
5,North Jack Branch,Lake Ellen,845 Richards Spurs Suite 110,194
6,West Dennisview Branch,Mollyton,85482 Tammy Ford,113
7,Richardbury Branch,Wilkinsshire,384 Terri Trail,329
8,West Brandonfort Branch,North Michelle,3583 Johnson Burgs Apt. 143,270
9,Traceybury Branch,Jonathanborough,228 Emily Isle Apt. 667,572
10,Carlborough Branch,Amandaview,3946 Kelley Ferry,800
11,Campbellmouth Branch,New Tim,291 Smith Brooks Suite 819,590
12,Lake Timothy Branch,Hoodfort,20592 John Hill Apt. 691,675
13,Marcton Branch,Whitechester,251 Porter Coves,464
14,Abigailborough Branch,New Philip,05462 Hartman Shore,927
15,New David Branch,Davidmouth,8860 Floyd Motorway Suite 710,911
16,Melissabury Branch,Joelbury,777 Adam Ports,988
17,Riverafort Branch,South Julia,372 Brown Burg,
18,Port Savannah Branch,Hartchester,3010 Amber River,253
19,Stevenshaven Branch,Port Allenland,004 Wright Ports Apt. 820,270
20,West Kevin Branch,Kylefort,670 Mendez Hill Suite 435,368
21,Lake Mary Branch,Sandramouth,6873 Anderson Trail,427
22,Lake Gerald Branch,Holdenhaven,522 Evans Shoals,227
23,East Emily Branch,Mitchellview,9029 Tammy Inlet,882
24,Mcdonaldmouth Branch,North Joshua,79946 Smith Shoals,793
25,Lake Cody Branch,New Melissaberg,3020 Richard Forge,240
26,South Melissafurt Branch,West Lisashire,1671 Stewart Causeway,926
27,Randallhaven Branch,North Alexandraberg,431 Williams Viaduct,774
28,New Julie Branch,Kristenmouth,897 Richardson Camp Suite 521,
29,East Robertport Branch,Taraport,920 Booker Groves Apt. 887,175
30,Littleland Branch,Jacksonville,35704 Madden Crossroad,240
31,Daniellemouth Branch,New Nicolefort,055 Roberts Ports Apt. 506,282
