Branch_ID,Book_ID,Quantity
186,278,99
154,426,32
17,407,62
58,319,48
334,254,9
346,25,74
152,96,62
123,10,24
289,128,16
423,453,78
183,447,64
410,161,9
94,277,41
374,222,20
483,307,75
373,356,45
60,365,19
440,393,44
476,415,87
404,187,27
411,248,47
296,390,30
252,112,46
387,8,21
4,466,5
151,388,28
100,290,32
188,279,77
161,338,59
475,307,5
26,445,49
183,186,30
471,29,86
457,158,41
134,154,52
423,432,69
289,264,6
190,159,81
154,216,61
36,426,39
146,298,19
382,338,11
428,122,61
29,85,53
155,245,97
222,106,69
164,327,98
121,226,26
427,408,100
155,243,26
253,345,6
223,169,82
216,284,49
230,35,62
145,276,18
177,128,73
407,421,55
339,380,8
429,192,63
484,49,22
377,440,24
391,149,74
36,447,43
125,41,20
430,56,13
297,169,59
250,247,82
442,449,93
354,400,83
329,228,43
233,159,38
125,307,76
483,419,24
51,68,73
78,308,1
87,428,8
60,224,63
309,69,63
46,124,24
72,355,23
275,167,92
290,366,30
343,348,35
206,307,98
32,23,7
466,161,22
348,490,93
296,398,69
398,285,64
4,295,34
80,17,35
152,217,9
176,161,14
449,272,89
347,99,79
247,388,8
248,139,23
244,391,14
85,355,74
171,478,12
405,23,4
132,209,55
371,166,36
242,207,55
472,262,84
31,246,40
316,427,51
304,48,66
344,286,1
305,283,11
226,145,77
453,174,79
382,152,42
159,69,1
233,269,51
216,417,78
168,52,9
370,104,59
208,491,83
453,347,58
217,341,27
96,323,29
232,243,26
444,121,7
119,27,13
158,310,26
322,110,57
66,108,92
49,486,14
130,184,26
346,343,53
95,68,77
99,118,70
290,166,57
480,243,38
70,403,69
377,454,83
300,227,90
446,401,17
176,433,20
292,287,55
408,33,76
114,227,37
131,459,9
177,193,65
150,198,88
36,380,37
342,405,53
34,133,97
265,102,59
113,155,97
177,430,34
263,210,100
331,339,84
218,214,83
206,170,23
311,75,46
378,189,5
451,229,35
471,45,91
380,390,78
259,459,59
394,445,86
32,45,19
189,100,24
